Vd Vg Vs Vb Lg Ids qd  
0.89 0.222222222222 0 0 1e-06 3.54848156967e-08 -7.49246434553e-16
1.0 0.222222222222 0 0 1e-06 3.54848156967e-08 -1.07184193963e-17
0.01 0.242424242424 0 0 1e-06 1.15722852671e-08 -0.351824376363
0.12 0.242424242424 0 0 1e-06 5.5585213381e-08 -0.0128336442096
0.23 0.242424242424 0 0 1e-06 5.69421518898e-08 -0.000190582265481
0.34 0.242424242424 0 0 1e-06 5.69621581012e-08 -2.72797713425e-06
0.45 0.242424242424 0 0 1e-06 5.69624444376e-08 -3.90256795314e-08
0.56 0.242424242424 0 0 1e-06 5.69624485339e-08 -5.5828574038e-10
0.67 0.242424242424 0 0 1e-06 5.69624485924e-08 -7.9866121911e-12
0.78 0.242424242424 0 0 1e-06 5.69624485933e-08 -1.1425327512e-13
0.89 0.242424242424 0 0 1e-06 5.69624485933e-08 -1.63446159188e-15
1.0 0.242424242424 0 0 1e-06 5.69624485933e-08 -2.33819528809e-17
0.01 0.262626262626 0 0 1e-06 1.6156563643e-08 -0.510202009818
0.12 0.262626262626 0 0 1e-06 8.41854539099e-08 -0.0268907440652
0.23 0.262626262626 0 0 1e-06 8.70513488251e-08 -0.00041546317716
0.34 0.262626262626 0 0 1e-06 8.70949673191e-08 -5.95095146457e-06
0.45 0.262626262626 0 0 1e-06 8.70955919494e-08 -8.5133503944e-08
0.56 0.262626262626 0 0 1e-06 8.70956008852e-08 -1.21788580881e-09
0.67 0.262626262626 0 0 1e-06 8.70956010131e-08 -1.74225865798e-11
0.78 0.262626262626 0 0 1e-06 8.70956010149e-08 -2.49240545324e-13
0.89 0.262626262626 0 0 1e-06 8.70956010149e-08 -3.56553541283e-15
1.0 0.262626262626 0 0 1e-06 8.70956010149e-08 -5.10071215084e-17
0.01 0.282828282828 0 0 1e-06 2.23689768457e-08 -0.704199867508
0.12 0.282828282828 0 0 1e-06 1.22897627779e-07 -0.0543015661685
0.23 0.282828282828 0 0 1e-06 1.2877369678e-07 -0.00090496893776
0.34 0.282828282828 0 0 1e-06 1.28868733884e-07 -1.29815621446e-05
0.45 0.282828282828 0 0 1e-06 1.28870096475e-07 -1.85716522578e-07
